ts,gx,gy,gz
2025-09-07T01:45:59.949+00:00,3.173828,-0.549316,-0.183105
2025-09-07T01:46:00.281+00:00,-1.220703,-0.366211,-0.305176
2025-09-07T01:46:00.527+00:00,1.220703,-0.305176,-0.183105
2025-09-07T01:46:00.798+00:00,-2.380371,-0.244141,-0.12207
2025-09-07T01:46:01.052+00:00,0.854492,-0.488281,-0.183105
2025-09-07T01:46:01.312+00:00,-4.089355,-0.244141,-0.427246
2025-09-07T01:46:01.575+00:00,-1.831055,-0.305176,-0.12207
2025-09-07T01:46:01.883+00:00,0.732422,-0.488281,-0.061035
2025-09-07T01:46:02.172+00:00,-0.488281,-0.305176,-0.183105
2025-09-07T01:46:02.473+00:00,-0.12207,-0.244141,-0.244141
2025-09-07T01:46:02.731+00:00,-1.586914,-0.427246,-0.183105
2025-09-07T01:46:03.001+00:00,3.356934,-0.549316,-0.12207
2025-09-07T01:46:03.292+00:00,-0.366211,-0.244141,-0.305176
2025-09-07T01:46:03.543+00:00,0.061035,-0.244141,-0.244141
2025-09-07T01:46:03.817+00:00,-0.793457,-0.488281,-0.12207
2025-09-07T01:46:04.093+00:00,-2.441406,-0.366211,-0.12207
2025-09-07T01:46:04.461+00:00,-3.845215,-0.244141,-0.183105
2025-09-07T01:46:04.723+00:00,-3.112793,-0.305176,-0.183105
2025-09-07T01:46:04.986+00:00,-0.915527,-0.366211,-0.183105
2025-09-07T01:46:05.342+00:00,4.821777,-0.366211,-0.12207
2025-09-07T01:46:05.615+00:00,1.220703,-0.305176,-0.244141
2025-09-07T01:46:05.919+00:00,2.746582,-0.488281,-0.183105
2025-09-07T01:46:06.182+00:00,-1.098633,-0.305176,-0.183105
2025-09-07T01:46:06.477+00:00,-1.77002,-0.305176,-0.244141
2025-09-07T01:46:06.759+00:00,-4.699707,-0.305176,-0.244141
2025-09-07T01:46:07.026+00:00,-1.953125,-0.305176,-0.183105
2025-09-07T01:46:07.288+00:00,-2.502441,-0.244141,-0.12207
2025-09-07T01:46:07.611+00:00,1.220703,-0.366211,-0.12207
2025-09-07T01:46:07.891+00:00,0.0,-0.366211,-0.305176
2025-09-07T01:46:08.152+00:00,2.258301,-0.366211,-0.12207
2025-09-07T01:46:08.497+00:00,0.671387,-0.366211,-0.183105
2025-09-07T01:46:08.818+00:00,0.549316,-0.366211,-0.183105
2025-09-07T01:46:09.084+00:00,-1.647949,-0.305176,-0.183105
2025-09-07T01:46:09.364+00:00,-2.990723,-0.305176,-0.183105
2025-09-07T01:46:09.658+00:00,-2.197266,-0.366211,-0.183105
2025-09-07T01:46:09.950+00:00,-2.624512,-0.305176,-0.244141
2025-09-07T01:46:10.223+00:00,-0.061035,-0.305176,-0.183105
2025-09-07T01:46:10.497+00:00,0.244141,-0.366211,-0.183105
2025-09-07T01:46:10.760+00:00,1.708984,-0.427246,-0.12207
2025-09-07T01:46:11.043+00:00,1.464844,-0.366211,-0.183105
2025-09-07T01:46:11.322+00:00,-0.061035,-0.366211,-0.12207
2025-09-07T01:46:11.601+00:00,0.854492,-0.488281,-0.183105
2025-09-07T01:46:11.856+00:00,-2.746582,-0.244141,-0.244141
2025-09-07T01:46:12.124+00:00,0.854492,-0.427246,-0.183105
2025-09-07T01:46:12.423+00:00,-3.479004,-0.305176,-0.244141
2025-09-07T01:46:12.691+00:00,-0.915527,-0.366211,-0.183105
2025-09-07T01:46:12.942+00:00,-3.356934,-0.366211,-0.183105
2025-09-07T01:46:13.195+00:00,-0.183105,-0.366211,-0.183105
2025-09-07T01:46:13.505+00:00,-0.488281,-0.305176,-0.183105
2025-09-07T01:46:13.750+00:00,4.272461,-0.488281,-0.12207
2025-09-07T01:46:14.010+00:00,1.159668,-0.427246,-0.183105
2025-09-07T01:46:14.302+00:00,3.967285,-0.427246,-0.183105
2025-09-07T01:46:14.561+00:00,-2.258301,-0.305176,-0.183105
2025-09-07T01:46:14.823+00:00,-3.90625,-0.366211,-0.183105
2025-09-07T01:46:15.074+00:00,-5.310059,-0.305176,-0.244141
2025-09-07T01:46:15.337+00:00,-4.150391,-0.244141,-0.244141
2025-09-07T01:46:15.583+00:00,1.342773,-0.427246,-0.183105
2025-09-07T01:46:15.833+00:00,1.342773,-0.366211,-0.12207
2025-09-07T01:46:16.087+00:00,5.065918,-0.427246,-0.12207
